,gene,coef,Celltype
837,TMEM109,0.938332965267346,OPC
417,KIF13A,0.936802316511311,OPC
448,LRRC2,0.934563626798094,OPC
469,METTL22,0.934040634139,OPC
328,FTL,0.932085704651957,OPC
301,FAM8A1,0.931209452716493,OPC
181,CLCC1,0.919771279410935,OPC
498,MUS81,0.919280247828525,OPC
195,COPG2,0.912651010140859,OPC
393,ITPKB,0.909919353393296,OPC
25,AC096559.1,0.90687089006213,OPC
805,SUFU,0.903353520383834,OPC
610,PSKH1,0.900300724220973,OPC
724,RPL34-AS1,0.887419245724587,OPC
683,RP11-403A3.3,0.887207455593476,OPC
888,WBSCR22,0.879502129467278,OPC
358,GRIK3,0.875134968471702,OPC
975,CTC-205M6.3,0.873359524477611,OPC
353,GRAMD1C,0.870683288097242,OPC
812,SYCP2,0.867457290047331,OPC
251,DIAPH3,0.867123015382856,OPC
438,LINC-PINT,0.861973151858808,OPC
194,COPG1,0.85923379198415,OPC
959,MEPCE,0.85519608400403,OPC
692,RP11-57A19.7,0.853864876779462,OPC
953,AL157871.2,0.846917958649245,OPC
3,ABCB10,0.843570021683593,OPC
734,SDC2,0.837551925568604,OPC
54,ALDH1L2,0.836124370777856,OPC
241,DAPL1,0.834399586932826,OPC
580,PIP4K2C,0.820947921276219,OPC
179,CKB,0.820715775789906,OPC
616,PTPN9,0.816629446741777,OPC
84,ATP10A,0.810285148487361,OPC
523,NEURL1B,0.809514821565043,OPC
5,ABCG2,0.805009864013658,OPC
367,HABP4,0.804175518124235,OPC
26,AC136007.2,0.802369535945536,OPC
450,LRRK2,0.800577389583656,OPC
657,RP11-142O6.1,0.798985071328683,OPC
345,GMCL1,0.796246437659486,OPC
620,PTPRN,0.77934567048006,OPC
716,RP5-1043L13.1,0.778782851394971,OPC
148,CCDC88A,0.776993646481224,OPC
642,RNF103,0.776562087031507,OPC
827,TEX14,0.771662409822482,OPC
899,YME1L1,0.771082866606254,OPC
493,MT-CO1,0.77041547454113,OPC
16,AC073479.1,0.768795195594271,OPC
541,NUCB2,0.766954449548506,OPC
703,RP11-756G20.1,0.76641626506199,OPC
490,MSH3,0.764196393470678,OPC
383,IGF2BP2,0.762943499997797,OPC
12,AC013267.2,0.76033619656539,OPC
584,PLA2R1,0.754574181591349,OPC
223,CTD-2054N24.2,0.748210475274707,OPC
337,GATC,0.747779983025629,OPC
501,NACC2,0.746585024650893,OPC
258,DOCK5,0.741774201483277,OPC
426,KLHL29,0.741681431806854,OPC
737,SECISBP2L,0.741444506476467,OPC
108,BRIP1,0.737119264176579,OPC
113,C12orf42,0.730066976995133,OPC
756,SIVA1,0.726908837919665,OPC
201,CPT1A,0.726481049543657,OPC
489,MSANTD3,0.724939458007614,OPC
289,FAM102B,0.723864869807132,OPC
329,FUNDC2,0.72306287522633,OPC
699,RP11-694I15.7,0.721693597660905,OPC
711,RP11-85M11.2,0.719181600826321,OPC
392,ITM2B,0.718333326793936,OPC
829,TIAM1,0.717194482417991,OPC
988,CTC-431G16.2,0.715799065771221,OPC
971,LINC00092,0.71536075868183,OPC
505,NAV1,0.713879722731662,OPC
629,RAPGEF4,0.713271926010816,OPC
974,AC002116.7,0.711418426913585,OPC
359,GRIN2A,0.70974362312587,OPC
741,SEMA4D,0.703214898503826,OPC
15,AC073343.13,0.703141540167229,OPC
112,C11orf65,0.701291553101959,OPC
531,NLRC4,0.699442885821202,OPC
721,RPL13,0.697230648967254,OPC
965,RP11-930O11.1,0.696635464358887,OPC
252,DICER1,0.690204392427246,OPC
135,CBFB,0.687449833951629,OPC
930,LA16c-358B7.3,0.684708597377679,OPC
651,RP11-10K16.1,0.682233119955275,OPC
73,ARSB,0.682016076135353,OPC
433,LCORL,0.679482566092587,OPC
816,SZT2,0.676199792447149,OPC
761,SLC22A17,0.675309037800262,OPC
499,MYO5B,0.674901600135855,OPC
236,CYB5D2,0.670290276197037,OPC
778,SMG5,0.669461600978246,OPC
739,SEM1,0.667236415974762,OPC
242,DCAF13,0.666724400870184,OPC
758,SLC15A4,0.66518833160392,OPC
885,WASF1,0.665164783847677,OPC
848,TMSB4X,0.665078226615508,OPC
502,NALCN,0.660386544342489,OPC
595,PPARD,0.660191286305694,OPC
902,ZCCHC24,0.659764153489099,OPC
349,GPALPP1,0.65365860497585,OPC
231,CTTN,0.652769487038176,OPC
681,RP11-389E17.1,0.652481538245582,OPC
240,DACH2,0.65114232665606,OPC
966,TLR10,0.645857108877809,OPC
557,PCDH11X,0.643648781597167,OPC
6,AC003991.3,0.643276112201098,OPC
147,CCDC67,0.642654049700637,OPC
440,LMNB1,0.642178917352295,OPC
340,GHR,0.637065716905662,OPC
516,NDUFS6,0.636014807832185,OPC
967,TUFT1,0.634297389291969,OPC
947,KIF18B,0.628530622486924,OPC
189,COL19A1,0.626288499786305,OPC
484,MOCS2,0.618119084745755,OPC
546,OLMALINC,0.61792790421561,OPC
344,GLRX2,0.617464960753769,OPC
397,JPH1,0.613376985373323,OPC
51,AL121656.4,0.612438060864228,OPC
370,HERC2P3,0.611600821960137,OPC
759,SLC16A10,0.611330599143045,OPC
510,NCALD,0.608924386708379,OPC
234,CXorf23,0.604279120360222,OPC
726,RTKN,0.602537362857231,OPC
585,PLAT,0.60096915313615,OPC
955,BNIPL,0.599913346575522,OPC
307,FBXW4,0.599756637036238,OPC
491,MSI1,0.598352508713896,OPC
954,AP001505.10,0.596780096690718,OPC
262,DYNC1I2,0.595569063461559,OPC
783,SOCS5,0.595074656562554,OPC
664,RP11-18H7.1,0.595001580262372,OPC
886,WASF2,0.584661510287833,OPC
494,MT-ND1,0.582754410399969,OPC
318,FMNL3,0.582251054027687,OPC
99,BCAS3,0.582194301788949,OPC
64,AP5M1,0.580924965833229,OPC
655,RP11-123B3.2,0.580161161524031,OPC
495,MT-RNR1,0.578142239398755,OPC
261,DVL3,0.575837565949497,OPC
589,PLXNB1,0.56861778035382,OPC
133,CAMKMT,0.568002398333528,OPC
766,SLC37A1,0.567791186905763,OPC
877,USP43,0.56636442392237,OPC
948,OXSM,0.553785892087373,OPC
897,XXbac-BPG55C20.7,0.552613400498117,OPC
526,NGEF,0.550537322724276,OPC
742,SEMA5A,0.549516565365038,OPC
399,KALP,0.548916496578574,OPC
22,AC087886.1,0.546654821581817,OPC
538,NRG3,0.546265251567943,OPC
298,FAM53C,0.544860152722302,OPC
443,LRIG1,0.544759641865807,OPC
311,FGFR1,0.542072640438077,OPC
304,FBXL12,0.541920991035543,OPC
2,ABCA1,0.539675072706768,OPC
780,SNAP91,0.537409787116427,OPC
985,RP11-68I3.2,0.53502454146921,OPC
537,NPAT,0.534902278208805,OPC
206,CSF1R,0.534628648367204,OPC
903,ZCCHC6,0.533398083500705,OPC
65,APH1B,0.531404394153137,OPC
945,RP11-472N13.3,0.530248852294199,OPC
378,HSCB,0.530103489591514,OPC
874,UNC5C,0.530062577161443,OPC
649,RP1-79C4.4,0.529842701595099,OPC
387,IPO8,0.527169577238947,OPC
730,SAMHD1,0.526828817590435,OPC
394,ITPR2,0.525932522497725,OPC
927,ZYG11B,0.524433993174749,OPC
689,RP11-50D16.4,0.522242257081764,OPC
446,LRPPRC,0.521604225173696,OPC
795,SREBF2,0.521011620311533,OPC
297,FAM49A,0.52028039790213,OPC
982,AC008937.2,0.519375991189405,OPC
658,RP11-148G20.1,0.517349639768821,OPC
184,CLIP4,0.517288217458824,OPC
693,RP11-586K2.1,0.513925696973855,OPC
892,WSCD1,0.511495225909629,OPC
460,MATN2,0.510478734770522,OPC
601,PPP2R5B,0.510383214687293,OPC
37,ADARB2,0.504816537653114,OPC
203,CREB5,0.503929798634315,OPC
591,PNCK,0.496629695697735,OPC
164,CENPV,0.494265544075351,OPC
476,MIR137HG,0.492156247327031,OPC
808,SUMF1,0.491395361177671,OPC
613,PTN,0.488088275334273,OPC
521,NEK11,0.481930023719582,OPC
404,KCNQ3,0.479267288194826,OPC
700,RP11-6J21.2,0.479200007007125,OPC
39,ADCK3,0.478623984485982,OPC
480,MMD,0.478591933703982,OPC
312,FGFR3,0.47769279580444,OPC
582,PKP2,0.47681002526934,OPC
287,EYS,0.473853018309139,OPC
350,GPC6,0.471001682475337,OPC
782,SOCS4,0.469971530545074,OPC
286,EYA3,0.468509538793376,OPC
926,ZSWIM6,0.467536000245047,OPC
727,RTTN,0.466803102204207,OPC
606,PRKCH,0.465440004585187,OPC
553,PARK2,0.463258803270252,OPC
708,RP11-797A18.5,0.463051086877873,OPC
330,GABRB1,0.462726233297252,OPC
197,CORO1C,0.462177936176246,OPC
153,CDC42BPA,0.462133207933724,OPC
527,NINJ2,0.453648542991145,OPC
171,CH17-437K3.1,0.45152518196652,OPC
420,KLF15,0.447103578727293,OPC
380,HTRA1,0.446633319229842,OPC
695,RP11-617D20.1,0.446335509361234,OPC
731,SAMSN1,0.446024100951388,OPC
919,ZNF559-ZNF177,0.443603362990087,OPC
441,LPGAT1,0.443295403167717,OPC
801,ST8SIA1,0.442408860351286,OPC
986,KLRC3,0.442369921933625,OPC
326,FRS2,0.438097709659923,OPC
597,PPFIBP2,0.430955174912278,OPC
178,CIT,0.430840178089149,OPC
273,EIF4ENIF1,0.424623253057896,OPC
944,RP11-210H10--A.1,0.423982398089809,OPC
208,CSMD3,0.419521983324886,OPC
817,TAF10,0.416502069121004,OPC
915,ZNF225,0.411844407978426,OPC
803,STK32A,0.410723203554028,OPC
536,NPAS2,0.410181809966996,OPC
558,PCDH11Y,0.41013748384409,OPC
797,SRP54,0.405600324565489,OPC
408,KDM5D,0.404498878940109,OPC
225,CTD-2189E23.1,0.404418698411951,OPC
129,CACNA2D3,0.404298460057762,OPC
292,FAM118A,0.403224100126715,OPC
88,ATP1B2,0.400404920256489,OPC
842,TMEM206,0.396427073044423,OPC
834,TM2D3,0.392780066745866,OPC
671,RP11-323P17.1,0.392041966318103,OPC
425,KLHL28,0.391408398165481,OPC
50,AKAP7,0.38844684885857,OPC
532,NMNAT3,0.388212241115888,OPC
554,PATJ,0.387312519179634,OPC
132,CALN1,0.385097625946445,OPC
85,ATP11B,0.385056727284415,OPC
984,CTD-2026K11.6,0.383814603684751,OPC
935,ZNF750,0.380833087334576,OPC
867,TTLL4,0.377507165686786,OPC
506,NBAS,0.377239153387946,OPC
35,ADAMTS20,0.374567050087659,OPC
752,SGSM1,0.36800350322272,OPC
765,SLC35F3,0.366939182687872,OPC
989,ATXN8OS,0.363368089942119,OPC
768,SLC7A5,0.363085578640723,OPC
830,TIMM44,0.363033753335373,OPC
529,NKX2-2,0.362532053941416,OPC
395,IWS1,0.360440324360558,OPC
156,CDH20,0.359464380447308,OPC
324,FREM2,0.359129342045288,OPC
209,CSNK1A1,0.358325704645748,OPC
660,RP11-169K16.9,0.35517448164153,OPC
907,ZFAND3,0.352730538747211,OPC
308,FERMT1,0.350440472790887,OPC
429,KSR2,0.348718123344699,OPC
464,ME3,0.34787781422936,OPC
8,AC005592.2,0.34528833844037,OPC
152,CDC37,0.344652422840434,OPC
545,OLFM2,0.344617009827273,OPC
883,VPS13C,0.344565590838797,OPC
246,DENND2A,0.342632900023911,OPC
977,MYCNOS,0.339727273088184,OPC
487,MROH9,0.338444878049768,OPC
839,TMEM176B,0.336614963841509,OPC
925,ZRANB2,0.336380582931577,OPC
