gene,coef,Celltype
HABP4,0.804175518,OPC
AC136007.2,0.802369536,OPC
LRRK2,0.80057739,OPC
RP11-142O6.1,0.798985071,OPC
GMCL1,0.796246438,OPC
PTPRN,0.77934567,OPC
RP5-1043L13.1,0.778782851,OPC
CCDC88A,0.776993646,OPC
RNF103,0.776562087,OPC
TEX14,0.77166241,OPC
YME1L1,0.771082867,OPC
MT-CO1,0.770415475,OPC
AC073479.1,0.768795196,OPC
NUCB2,0.76695445,OPC
RP11-756G20.1,0.766416265,OPC
MSH3,0.764196393,OPC
IGF2BP2,0.7629435,OPC
AC013267.2,0.760336197,OPC
PLA2R1,0.754574182,OPC
CTD-2054N24.2,0.748210475,OPC
GATC,0.747779983,OPC
NACC2,0.746585025,OPC
DOCK5,0.741774201,OPC
KLHL29,0.741681432,OPC
SECISBP2L,0.741444506,OPC
BRIP1,0.737119264,OPC
C12orf42,0.730066977,OPC
SIVA1,0.726908838,OPC
CPT1A,0.72648105,OPC
MSANTD3,0.724939458,OPC
FAM102B,0.72386487,OPC
FUNDC2,0.723062875,OPC
RP11-694I15.7,0.721693598,OPC
RP11-85M11.2,0.719181601,OPC
ITM2B,0.718333327,OPC
TIAM1,0.717194482,OPC
CTC-431G16.2,0.715799066,OPC
LINC00092,0.715360759,OPC
NAV1,0.713879723,OPC
RAPGEF4,0.713271926,OPC
AC002116.7,0.711418427,OPC
GRIN2A,0.709743623,OPC
SEMA4D,0.703214899,OPC
AC073343.13,0.70314154,OPC
C11orf65,0.701291553,OPC
NLRC4,0.699442886,OPC
RPL13,0.697230649,OPC
RP11-930O11.1,0.696635464,OPC
DICER1,0.690204392,OPC
CBFB,0.687449834,OPC
LA16c-358B7.3,0.684708597,OPC
RP11-10K16.1,0.68223312,OPC
ARSB,0.682016076,OPC
LCORL,0.679482566,OPC
SZT2,0.676199792,OPC
SLC22A17,0.675309038,OPC
MYO5B,0.6749016,OPC
CYB5D2,0.670290276,OPC
SMG5,0.669461601,OPC
SEM1,0.667236416,OPC
DCAF13,0.666724401,OPC
SLC15A4,0.665188332,OPC
WASF1,0.665164784,OPC
TMSB4X,0.665078227,OPC
NALCN,0.660386544,OPC
PPARD,0.660191286,OPC
ZCCHC24,0.659764153,OPC
GPALPP1,0.653658605,OPC
CTTN,0.652769487,OPC
RP11-389E17.1,0.652481538,OPC
DACH2,0.651142327,OPC
TLR10,0.645857109,OPC
PCDH11X,0.643648782,OPC
AC003991.3,0.643276112,OPC
CCDC67,0.64265405,OPC
LMNB1,0.642178917,OPC
GHR,0.637065717,OPC
NDUFS6,0.636014808,OPC
TUFT1,0.634297389,OPC
KIF18B,0.628530622,OPC
COL19A1,0.6262885,OPC
MOCS2,0.618119085,OPC
OLMALINC,0.617927904,OPC
GLRX2,0.617464961,OPC
JPH1,0.613376985,OPC
AL121656.4,0.612438061,OPC
HERC2P3,0.611600822,OPC
SLC16A10,0.611330599,OPC
NCALD,0.608924387,OPC
CXorf23,0.60427912,OPC
RTKN,0.602537363,OPC
PLAT,0.600969153,OPC
BNIPL,0.599913347,OPC
FBXW4,0.599756637,OPC
MSI1,0.598352509,OPC
AP001505.10,0.596780097,OPC
DYNC1I2,0.595569063,OPC
SOCS5,0.595074657,OPC
RP11-18H7.1,0.59500158,OPC
WASF2,0.58466151,OPC
MT-ND1,0.58275441,OPC
FMNL3,0.582251054,OPC
BCAS3,0.582194302,OPC
AP5M1,0.580924966,OPC
RP11-123B3.2,0.580161162,OPC
MT-RNR1,0.578142239,OPC
DVL3,0.575837566,OPC
PLXNB1,0.56861778,OPC
CAMKMT,0.568002398,OPC
SLC37A1,0.567791187,OPC
USP43,0.566364424,OPC
OXSM,0.553785892,OPC
XXbac-BPG55C20.7,0.5526134,OPC
NGEF,0.550537323,OPC
SEMA5A,0.549516565,OPC
KALP,0.548916497,OPC
AC087886.1,0.546654822,OPC
NRG3,0.546265252,OPC
FAM53C,0.544860153,OPC
LRIG1,0.544759642,OPC
FGFR1,0.54207264,OPC
FBXL12,0.541920991,OPC
ABCA1,0.539675073,OPC
SNAP91,0.537409787,OPC
RP11-68I3.2,0.535024541,OPC
NPAT,0.534902278,OPC
CSF1R,0.534628648,OPC
ZCCHC6,0.533398084,OPC
APH1B,0.531404394,OPC
RP11-472N13.3,0.530248852,OPC
HSCB,0.53010349,OPC
UNC5C,0.530062577,OPC
RP1-79C4.4,0.529842702,OPC
IPO8,0.527169577,OPC
SAMHD1,0.526828818,OPC
ITPR2,0.525932522,OPC
ZYG11B,0.524433993,OPC
RP11-50D16.4,0.522242257,OPC
LRPPRC,0.521604225,OPC
SREBF2,0.52101162,OPC
FAM49A,0.520280398,OPC
AC008937.2,0.519375991,OPC
RP11-148G20.1,0.51734964,OPC
CLIP4,0.517288217,OPC
RP11-586K2.1,0.513925697,OPC
WSCD1,0.511495226,OPC
MATN2,0.510478735,OPC
PPP2R5B,0.510383215,OPC
ADARB2,0.504816538,OPC
CREB5,0.503929799,OPC
PNCK,0.496629696,OPC
CENPV,0.494265544,OPC
MIR137HG,0.492156247,OPC
SUMF1,0.491395361,OPC
PTN,0.488088275,OPC
NEK11,0.481930024,OPC
KCNQ3,0.479267288,OPC
RP11-6J21.2,0.479200007,OPC
ADCK3,0.478623984,OPC
MMD,0.478591934,OPC
FGFR3,0.477692796,OPC
PKP2,0.476810025,OPC
EYS,0.473853018,OPC
GPC6,0.471001682,OPC
SOCS4,0.469971531,OPC
EYA3,0.468509539,OPC
ZSWIM6,0.467536,OPC
RTTN,0.466803102,OPC
PRKCH,0.465440005,OPC
PARK2,0.463258803,OPC
RP11-797A18.5,0.463051087,OPC
GABRB1,0.462726233,OPC
CORO1C,0.462177936,OPC
CDC42BPA,0.462133208,OPC
NINJ2,0.453648543,OPC
CH17-437K3.1,0.451525182,OPC
KLF15,0.447103579,OPC
HTRA1,0.446633319,OPC
RP11-617D20.1,0.446335509,OPC
SAMSN1,0.446024101,OPC
ZNF559-ZNF177,0.443603363,OPC
LPGAT1,0.443295403,OPC
ST8SIA1,0.44240886,OPC
KLRC3,0.442369922,OPC
FRS2,0.43809771,OPC
PPFIBP2,0.430955175,OPC
CIT,0.430840178,OPC
EIF4ENIF1,0.424623253,OPC
RP11-210H10--A.1,0.423982398,OPC
CSMD3,0.419521983,OPC
TAF10,0.416502069,OPC
ZNF225,0.411844408,OPC
STK32A,0.410723204,OPC
NPAS2,0.41018181,OPC
PCDH11Y,0.410137484,OPC
SRP54,0.405600325,OPC
KDM5D,0.404498879,OPC
CTD-2189E23.1,0.404418698,OPC
CACNA2D3,0.40429846,OPC
FAM118A,0.4032241,OPC
ATP1B2,0.40040492,OPC
TMEM206,0.396427073,OPC
TM2D3,0.392780067,OPC
RP11-323P17.1,0.392041966,OPC
KLHL28,0.391408398,OPC
AKAP7,0.388446849,OPC
NMNAT3,0.388212241,OPC
PATJ,0.387312519,OPC
CALN1,0.385097626,OPC
ATP11B,0.385056727,OPC
CTD-2026K11.6,0.383814604,OPC
ZNF750,0.380833087,OPC
TTLL4,0.377507166,OPC
NBAS,0.377239153,OPC
ADAMTS20,0.37456705,OPC
SGSM1,0.368003503,OPC
SLC35F3,0.366939183,OPC
ATXN8OS,0.36336809,OPC
SLC7A5,0.363085579,OPC
TIMM44,0.363033753,OPC
NKX2-2,0.362532054,OPC
IWS1,0.360440324,OPC
CDH20,0.35946438,OPC
FREM2,0.359129342,OPC
CSNK1A1,0.358325705,OPC
RP11-169K16.9,0.355174482,OPC
ZFAND3,0.352730539,OPC
FERMT1,0.350440473,OPC
KSR2,0.348718123,OPC
ME3,0.347877814,OPC
AC005592.2,0.345288338,OPC
CDC37,0.344652423,OPC
OLFM2,0.34461701,OPC
VPS13C,0.344565591,OPC
DENND2A,0.3426329,OPC
MYCNOS,0.339727273,OPC
MROH9,0.338444878,OPC
TMEM176B,0.336614964,OPC
ZRANB2,0.336380583,OPC
PMP2,0.335588182,OPC
SEC23A,0.334875219,OPC
KHDRBS2,0.332161596,OPC
MPHOSPH8,0.33173305,OPC
AMER2,0.331006401,OPC
FPGT-TNNI3K,0.330135262,OPC
ANOS1,0.329995902,OPC
SMAD3,0.329821401,OPC
MLLT4,0.32303924,OPC
AC074391.1,0.320418383,OPC
CCDC186,0.318938206,OPC
RP11-220I1.1,0.316905852,OPC
KLHL24,0.316502299,OPC
NXPE3,0.315931589,OPC
ARHGAP35,0.314211167,OPC
CTB-118P15.2,0.308593166,OPC
KCNH7,0.306563323,OPC
MEIS1,0.304762696,OPC
HACL1,0.304537854,OPC
SFMBT2,0.303849658,OPC
SORL1,0.303348663,OPC
PLPP4,0.302437779,OPC
MOBP,0.299162908,OPC
TCN2,0.299007286,OPC
PRKACB,0.296142194,OPC
UQCRH,0.29522465,OPC
CCDC146,0.294819928,OPC
SEMA5B,0.293604119,OPC
KDM5A,0.287475148,OPC
RP11-436K8.1,0.284809399,OPC
TNFSF13B,0.283624511,OPC
NBPF1,0.280510723,OPC
TNRC6A,0.279689284,OPC
KRI1,0.279549623,OPC
CLSTN1,0.279198746,OPC
RP11-58B17.1,0.278381037,OPC
SEPP1,0.277524273,OPC
BRSK1,0.27689651,OPC
PTP4A1,0.275458112,OPC
C19orf66,0.274164061,OPC
EMC2,0.273430411,OPC
NT5C2,0.273150681,OPC
ASH2L,0.272400444,OPC
GRB2,0.269807595,OPC
SCP2,0.268975457,OPC
ERBB4,0.268329984,OPC
SDHA,0.264482022,OPC
RP1-146A15.1,0.264113354,OPC
CLASRP,0.262171407,OPC
TVP23C,0.259938235,OPC
MMP2,0.257649027,OPC
MMP16,0.257641028,OPC
